Unnamed: 0.1,Unnamed: 0,VALEUR,SEANCE,Mean_Weighted_Sentiment,Article_Count,Sentiment_Intensity,TUNBANQ_INDICE_JOUR,TUNFIN_INDICE_JOUR,TUNINDEX_INDICE_JOUR,TUNINDEX20_INDICE_JOUR,TUNSAC_INDICE_JOUR,TUNBANQ_INDICE_VEILLE,TUNFIN_INDICE_VEILLE,TUNINDEX_INDICE_VEILLE,TUNINDEX20_INDICE_VEILLE,TUNSAC_INDICE_VEILLE,TUNBANQ_VARIATION_VEILLE,TUNFIN_VARIATION_VEILLE,TUNINDEX_VARIATION_VEILLE,TUNINDEX20_VARIATION_VEILLE,TUNSAC_VARIATION_VEILLE
56.0,56.0,ATTIJARI BANK,2022-03-28,0.764,2.0,1.528,,,,,,,,,,,,,,,
57.0,57.0,ATTIJARI BANK,2022-03-30,1.0,1.0,1.0,,,,,,,,,,,,,,,
58.0,58.0,ATTIJARI BANK,2022-03-31,1.0,1.0,1.0,,,,,,,,,,,,,,,
59.0,59.0,ATTIJARI BANK,2022-04-04,-0.0005,2.0,1.999,,,,,,,,,,,,,,,
60.0,60.0,ATTIJARI BANK,2022-04-05,-1.0,1.0,1.0,,,,,,,,,,,,,,,
61.0,61.0,ATTIJARI BANK,2022-04-13,0.76,1.0,0.76,,,,,,,,,,,,,,,
62.0,62.0,ATTIJARI BANK,2022-04-20,1.0,1.0,1.0,,,,,,,,,,,,,,,
63.0,63.0,ATTIJARI BANK,2022-05-17,0.978,1.0,0.978,,,,,,,,,,,,,,,
64.0,64.0,ATTIJARI BANK,2022-05-19,0.5,2.0,1.0,,,,,,,,,,,,,,,
65.0,65.0,ATTIJARI BANK,2022-06-10,-0.514,1.0,0.514,,,,,,,,,,,,,,,
66.0,66.0,ATTIJARI BANK,2022-06-16,0.318,2.0,0.636,,,,,,,,,,,,,,,
67.0,67.0,ATTIJARI BANK,2022-06-20,0.0,1.0,0.0,,,,,,,,,,,,,,,
68.0,68.0,ATTIJARI BANK,2022-06-30,0.0,1.0,0.0,,,,,,,,,,,,,,,
69.0,69.0,ATTIJARI BANK,2022-07-07,0.748,1.0,0.748,,,,,,,,,,,,,,,
70.0,70.0,ATTIJARI BANK,2022-07-21,1.0,1.0,1.0,,,,,,,,,,,,,,,
71.0,71.0,ATTIJARI BANK,2022-07-22,-0.258,2.0,0.516,,,,,,,,,,,,,,,
72.0,72.0,ATTIJARI BANK,2022-08-10,-0.937,1.0,0.937,,,,,,,,,,,,,,,
73.0,73.0,ATTIJARI BANK,2022-08-23,0.859,1.0,0.859,,,,,,,,,,,,,,,
74.0,74.0,ATTIJARI BANK,2022-08-26,1.0,1.0,1.0,,,,,,,,,,,,,,,
75.0,75.0,ATTIJARI BANK,2022-09-15,0.0,1.0,0.0,,,,,,,,,,,,,,,
76.0,76.0,ATTIJARI BANK,2022-09-19,-0.717,1.0,0.717,,,,,,,,,,,,,,,
77.0,77.0,ATTIJARI BANK,2022-10-05,0.0,1.0,0.0,,,,,,,,,,,,,,,
78.0,78.0,ATTIJARI BANK,2022-10-10,0.525,1.0,0.525,,,,,,,,,,,,,,,
79.0,79.0,ATTIJARI BANK,2022-10-18,-0.769,1.0,0.769,,,,,,,,,,,,,,,
80.0,80.0,ATTIJARI BANK,2022-10-19,-0.615,1.0,0.615,,,,,,,,,,,,,,,
81.0,81.0,ATTIJARI BANK,2022-10-21,-0.1945,2.0,0.389,,,,,,,,,,,,,,,
82.0,82.0,ATTIJARI BANK,2022-10-27,-0.925,1.0,0.925,,,,,,,,,,,,,,,
83.0,83.0,ATTIJARI BANK,2022-11-11,0.0,1.0,0.0,,,,,,,,,,,,,,,
84.0,84.0,ATTIJARI BANK,2022-11-14,0.0,1.0,0.0,,,,,,,,,,,,,,,
85.0,85.0,ATTIJARI BANK,2022-11-19,-1.0,1.0,1.0,,,,,,,,,,,,,,,
86.0,86.0,ATTIJARI BANK,2022-12-15,0.0414999999999999,2.0,1.879,,,,,,,,,,,,,,,
87.0,87.0,ATTIJARI BANK,2022-12-20,-0.8223333333333334,3.0,2.467,,,,,,,,,,,,,,,
88.0,88.0,ATTIJARI BANK,2022-12-21,-1.0,1.0,1.0,,,,,,,,,,,,,,,
89.0,89.0,ATTIJARI BANK,2022-12-27,-1.0,1.0,1.0,,,,,,,,,,,,,,,
90.0,90.0,ATTIJARI BANK,2023-01-02,0.0,1.0,0.0,,,,,,,,,,,,,,,
91.0,91.0,ATTIJARI BANK,2023-01-04,-1.0,1.0,1.0,,,,,,,,,,,,,,,
92.0,92.0,ATTIJARI BANK,2023-01-10,-0.749,1.0,0.749,,,,,,,,,,,,,,,
93.0,93.0,ATTIJARI BANK,2023-01-11,0.653,1.0,0.653,,,,,,,,,,,,,,,
94.0,94.0,ATTIJARI BANK,2023-01-12,-0.993,2.0,1.986,,,,,,,,,,,,,,,
95.0,95.0,ATTIJARI BANK,2023-01-17,-1.0,1.0,1.0,,,,,,,,,,,,,,,
96.0,96.0,ATTIJARI BANK,2023-01-18,-0.8365,2.0,1.673,,,,,,,,,,,,,,,
97.0,97.0,ATTIJARI BANK,2023-01-20,0.1186666666666666,3.0,1.644,,,,,,,,,,,,,,,
98.0,98.0,ATTIJARI BANK,2023-01-24,-1.0,1.0,1.0,,,,,,,,,,,,,,,
99.0,99.0,ATTIJARI BANK,2023-01-30,-1.0,1.0,1.0,,,,,,,,,,,,,,,
100.0,100.0,ATTIJARI BANK,2023-02-06,-1.0,1.0,1.0,,,,,,,,,,,,,,,
101.0,101.0,ATTIJARI BANK,2023-02-13,0.972,1.0,0.972,,,,,,,,,,,,,,,
102.0,102.0,ATTIJARI BANK,2023-02-14,-0.199,2.0,1.4220000000000002,,,,,,,,,,,,,,,
103.0,103.0,ATTIJARI BANK,2023-02-15,-0.2583333333333333,3.0,0.775,,,,,,,,,,,,,,,
104.0,104.0,ATTIJARI BANK,2023-02-16,0.7284999999999999,2.0,1.457,,,,,,,,,,,,,,,
105.0,105.0,ATTIJARI BANK,2023-02-17,0.873,1.0,0.873,,,,,,,,,,,,,,,
106.0,106.0,ATTIJARI BANK,2023-02-20,-1.0,1.0,1.0,,,,,,,,,,,,,,,
107.0,107.0,ATTIJARI BANK,2023-02-22,-1.0,1.0,1.0,,,,,,,,,,,,,,,
108.0,108.0,ATTIJARI BANK,2023-02-23,-1.0,1.0,1.0,,,,,,,,,,,,,,,
109.0,109.0,ATTIJARI BANK,2023-02-24,-0.773,1.0,0.773,,,,,,,,,,,,,,,
110.0,110.0,ATTIJARI BANK,2023-02-27,-0.5923333333333334,3.0,1.777,,,,,,,,,,,,,,,
111.0,111.0,ATTIJARI BANK,2023-03-07,-0.827,1.0,0.827,,,,,,,,,,,,,,,
112.0,112.0,ATTIJARI BANK,2023-03-08,-1.0,1.0,1.0,,,,,,,,,,,,,,,
113.0,113.0,ATTIJARI BANK,2023-03-12,0.403,1.0,0.403,,,,,,,,,,,,,,,
114.0,114.0,ATTIJARI BANK,2023-03-13,0.0,1.0,0.0,,,,,,,,,,,,,,,
115.0,115.0,ATTIJARI BANK,2023-03-17,-1.0,1.0,1.0,,,,,,,,,,,,,,,
116.0,116.0,ATTIJARI BANK,2023-03-21,0.9885,2.0,1.977,,,,,,,,,,,,,,,
117.0,117.0,ATTIJARI BANK,2023-03-22,-0.776,1.0,0.776,,,,,,,,,,,,,,,
118.0,118.0,ATTIJARI BANK,2023-03-24,0.448,1.0,0.448,,,,,,,,,,,,,,,
119.0,119.0,ATTIJARI BANK,2023-04-03,0.5885,4.0,3.646,,,,,,,,,,,,,,,
120.0,120.0,ATTIJARI BANK,2023-04-05,-0.53,1.0,0.53,,,,,,,,,,,,,,,
121.0,121.0,ATTIJARI BANK,2023-04-06,-0.741,1.0,0.741,,,,,,,,,,,,,,,
122.0,122.0,ATTIJARI BANK,2023-04-07,1.0,1.0,1.0,,,,,,,,,,,,,,,
123.0,123.0,ATTIJARI BANK,2023-04-10,-0.811,1.0,0.811,,,,,,,,,,,,,,,
124.0,124.0,ATTIJARI BANK,2023-04-19,0.3066666666666666,3.0,2.228,,,,,,,,,,,,,,,
125.0,125.0,ATTIJARI BANK,2023-04-24,-1.0,1.0,1.0,,,,,,,,,,,,,,,
126.0,126.0,ATTIJARI BANK,2023-04-26,0.771,1.0,0.771,,,,,,,,,,,,,,,
127.0,127.0,ATTIJARI BANK,2023-04-28,-1.0,1.0,1.0,,,,,,,,,,,,,,,
128.0,128.0,ATTIJARI BANK,2023-05-03,-1.0,1.0,1.0,,,,,,,,,,,,,,,
129.0,129.0,ATTIJARI BANK,2023-05-08,0.051,2.0,1.272,,,,,,,,,,,,,,,
130.0,130.0,ATTIJARI BANK,2023-05-10,-1.0,1.0,1.0,,,,,,,,,,,,,,,
131.0,131.0,ATTIJARI BANK,2023-05-15,0.954,1.0,0.954,,,,,,,,,,,,,,,
132.0,132.0,ATTIJARI BANK,2023-05-17,-0.496,1.0,0.496,,,,,,,,,,,,,,,
133.0,133.0,ATTIJARI BANK,2023-05-19,-0.677,1.0,0.677,,,,,,,,,,,,,,,
134.0,134.0,ATTIJARI BANK,2023-05-22,-0.3195,2.0,0.639,,,,,,,,,,,,,,,
135.0,135.0,ATTIJARI BANK,2023-05-25,-0.374,1.0,0.374,,,,,,,,,,,,,,,
136.0,136.0,ATTIJARI BANK,2023-05-30,-1.0,1.0,1.0,,,,,,,,,,,,,,,
137.0,137.0,ATTIJARI BANK,2023-05-31,0.459,1.0,0.459,,,,,,,,,,,,,,,
138.0,138.0,ATTIJARI BANK,2023-06-01,-1.0,1.0,1.0,,,,,,,,,,,,,,,
139.0,139.0,ATTIJARI BANK,2023-06-02,-0.776,1.0,0.776,,,,,,,,,,,,,,,
140.0,140.0,ATTIJARI BANK,2023-06-05,-0.759,1.0,0.759,,,,,,,,,,,,,,,
141.0,141.0,ATTIJARI BANK,2023-06-06,-1.0,1.0,1.0,,,,,,,,,,,,,,,
142.0,142.0,ATTIJARI BANK,2023-06-09,-0.769,1.0,0.769,,,,,,,,,,,,,,,
143.0,143.0,ATTIJARI BANK,2023-06-16,-0.903,1.0,0.903,,,,,,,,,,,,,,,
144.0,144.0,ATTIJARI BANK,2023-06-20,-0.717,1.0,0.717,,,,,,,,,,,,,,,
145.0,145.0,ATTIJARI BANK,2023-06-22,-0.718,1.0,0.718,,,,,,,,,,,,,,,
146.0,146.0,ATTIJARI BANK,2023-07-05,0.488,1.0,0.488,,,,,,,,,,,,,,,
147.0,147.0,ATTIJARI BANK,2023-07-06,-0.769,1.0,0.769,,,,,,,,,,,,,,,
148.0,148.0,ATTIJARI BANK,2023-07-10,0.648,1.0,0.648,,,,,,,,,,,,,,,
149.0,149.0,ATTIJARI BANK,2023-07-11,0.0,1.0,0.0,,,,,,,,,,,,,,,
150.0,150.0,ATTIJARI BANK,2023-07-14,-0.775,1.0,0.775,,,,,,,,,,,,,,,
151.0,151.0,ATTIJARI BANK,2023-07-15,0.0,1.0,0.0,,,,,,,,,,,,,,,
152.0,152.0,ATTIJARI BANK,2023-07-17,0.501,1.0,0.501,,,,,,,,,,,,,,,
153.0,153.0,ATTIJARI BANK,2023-07-18,0.181,2.0,1.638,,,,,,,,,,,,,,,
154.0,154.0,ATTIJARI BANK,2023-07-24,-0.536,1.0,0.536,,,,,,,,,,,,,,,
155.0,155.0,ATTIJARI BANK,2023-07-26,0.0685,2.0,1.187,,,,,,,,,,,,,,,
156.0,156.0,ATTIJARI BANK,2023-07-27,0.0,1.0,0.0,,,,,,,,,,,,,,,
157.0,157.0,ATTIJARI BANK,2023-08-03,-0.9685,2.0,1.937,,,,,,,,,,,,,,,
158.0,158.0,ATTIJARI BANK,2023-08-07,-1.0,1.0,1.0,,,,,,,,,,,,,,,
159.0,159.0,ATTIJARI BANK,2023-08-18,-0.6735,2.0,1.347,,,,,,,,,,,,,,,
160.0,160.0,ATTIJARI BANK,2023-08-23,0.0,1.0,0.0,,,,,,,,,,,,,,,
161.0,161.0,ATTIJARI BANK,2023-08-28,0.4736666666666667,3.0,2.579,,,,,,,,,,,,,,,
162.0,162.0,ATTIJARI BANK,2023-08-30,0.68,1.0,0.68,,,,,,,,,,,,,,,
163.0,163.0,ATTIJARI BANK,2023-08-31,0.0,2.0,0.0,,,,,,,,,,,,,,,
164.0,164.0,ATTIJARI BANK,2023-09-01,0.4295,2.0,0.859,,,,,,,,,,,,,,,
165.0,165.0,ATTIJARI BANK,2023-09-04,-0.68,1.0,0.68,,,,,,,,,,,,,,,
166.0,166.0,ATTIJARI BANK,2023-09-15,-1.0,1.0,1.0,,,,,,,,,,,,,,,
167.0,167.0,ATTIJARI BANK,2023-09-18,-0.779,1.0,0.779,,,,,,,,,,,,,,,
168.0,168.0,ATTIJARI BANK,2023-09-20,1.0,1.0,1.0,,,,,,,,,,,,,,,
169.0,169.0,ATTIJARI BANK,2023-09-21,-1.0,1.0,1.0,,,,,,,,,,,,,,,
170.0,170.0,ATTIJARI BANK,2023-09-22,-1.0,2.0,2.0,,,,,,,,,,,,,,,
171.0,171.0,ATTIJARI BANK,2023-09-25,-1.0,1.0,1.0,,,,,,,,,,,,,,,
172.0,172.0,ATTIJARI BANK,2023-09-26,-1.0,1.0,1.0,,,,,,,,,,,,,,,
173.0,173.0,ATTIJARI BANK,2023-10-03,-1.0,1.0,1.0,,,,,,,,,,,,,,,
174.0,174.0,ATTIJARI BANK,2023-10-04,-0.131,2.0,1.738,,,,,,,,,,,,,,,
175.0,175.0,ATTIJARI BANK,2023-10-05,0.482,1.0,0.482,,,,,,,,,,,,,,,
176.0,176.0,ATTIJARI BANK,2023-10-06,0.689,1.0,0.689,,,,,,,,,,,,,,,
177.0,177.0,ATTIJARI BANK,2023-10-11,-0.442,3.0,2.674,,,,,,,,,,,,,,,
178.0,178.0,ATTIJARI BANK,2023-10-12,0.0,1.0,0.0,,,,,,,,,,,,,,,
179.0,179.0,ATTIJARI BANK,2023-10-13,-0.639,1.0,0.639,,,,,,,,,,,,,,,
180.0,180.0,ATTIJARI BANK,2023-10-23,0.1559999999999999,2.0,1.652,,,,,,,,,,,,,,,
181.0,181.0,ATTIJARI BANK,2023-11-13,-1.0,1.0,1.0,,,,,,,,,,,,,,,
182.0,182.0,ATTIJARI BANK,2023-11-14,-1.0,1.0,1.0,,,,,,,,,,,,,,,
183.0,183.0,ATTIJARI BANK,2023-11-16,0.0,2.0,0.0,,,,,,,,,,,,,,,
184.0,184.0,ATTIJARI BANK,2023-11-27,0.577,1.0,0.577,,,,,,,,,,,,,,,
185.0,185.0,ATTIJARI BANK,2023-11-28,0.976,1.0,0.976,,,,,,,,,,,,,,,
186.0,186.0,ATTIJARI BANK,2023-12-01,1.0,1.0,1.0,,,,,,,,,,,,,,,
187.0,187.0,ATTIJARI BANK,2023-12-04,-0.772,1.0,0.772,,,,,,,,,,,,,,,
188.0,188.0,ATTIJARI BANK,2023-12-07,0.0,2.0,0.0,,,,,,,,,,,,,,,
189.0,189.0,ATTIJARI BANK,2023-12-18,-0.769,1.0,0.769,,,,,,,,,,,,,,,
190.0,190.0,ATTIJARI BANK,2023-12-19,-1.0,1.0,1.0,,,,,,,,,,,,,,,
191.0,191.0,ATTIJARI BANK,2023-12-21,0.5,2.0,1.0,,,,,,,,,,,,,,,
192.0,192.0,ATTIJARI BANK,2023-12-25,-1.0,1.0,1.0,,,,,,,,,,,,,,,
193.0,193.0,ATTIJARI BANK,2023-12-26,-1.0,1.0,1.0,,,,,,,,,,,,,,,
194.0,194.0,ATTIJARI BANK,2023-12-31,0.469,1.0,0.469,,,,,,,,,,,,,,,
195.0,195.0,ATTIJARI BANK,2024-01-02,-0.89,3.0,2.67,,,,,,,,,,,,,,,
196.0,196.0,ATTIJARI BANK,2024-01-03,-1.0,1.0,1.0,,,,,,,,,,,,,,,
197.0,197.0,ATTIJARI BANK,2024-01-04,-1.0,2.0,2.0,,,,,,,,,,,,,,,
198.0,198.0,ATTIJARI BANK,2024-01-09,-0.1119999999999999,2.0,1.776,,,,,,,,,,,,,,,
199.0,199.0,ATTIJARI BANK,2024-01-10,-0.9575,2.0,1.915,,,,,,,,,,,,,,,
200.0,200.0,ATTIJARI BANK,2024-01-11,-0.776,1.0,0.776,,,,,,,,,,,,,,,
201.0,201.0,ATTIJARI BANK,2024-01-12,-0.673,1.0,0.673,,,,,,,,,,,,,,,
202.0,202.0,ATTIJARI BANK,2024-01-15,-0.775,1.0,0.775,,,,,,,,,,,,,,,
203.0,203.0,ATTIJARI BANK,2024-01-16,-0.7010000000000001,2.0,1.402,,,,,,,,,,,,,,,
204.0,204.0,ATTIJARI BANK,2024-01-17,-1.0,1.0,1.0,,,,,,,,,,,,,,,
205.0,205.0,ATTIJARI BANK,2024-01-20,-0.336,1.0,0.336,,,,,,,,,,,,,,,
206.0,206.0,ATTIJARI BANK,2024-01-22,-0.882,2.0,1.764,,,,,,,,,,,,,,,
207.0,207.0,ATTIJARI BANK,2024-01-23,0.174,2.0,1.652,,,,,,,,,,,,,,,
208.0,208.0,ATTIJARI BANK,2024-01-26,0.759,1.0,0.759,,,,,,,,,,,,,,,
209.0,209.0,ATTIJARI BANK,2024-01-30,-1.0,1.0,1.0,,,,,,,,,,,,,,,
210.0,210.0,ATTIJARI BANK,2024-02-01,1.0,1.0,1.0,,,,,,,,,,,,,,,
211.0,211.0,ATTIJARI BANK,2024-02-07,0.4116666666666666,3.0,2.765,,,,,,,,,,,,,,,
212.0,212.0,ATTIJARI BANK,2024-02-09,-0.5,2.0,1.0,,,,,,,,,,,,,,,
213.0,213.0,ATTIJARI BANK,2024-02-16,0.1965,2.0,1.569,,,,,,,,,,,,,,,
214.0,214.0,ATTIJARI BANK,2024-02-19,-0.5,2.0,1.0,,,,,,,,,,,,,,,
215.0,215.0,ATTIJARI BANK,2024-02-28,-0.641,1.0,0.641,,,,,,,,,,,,,,,
216.0,216.0,ATTIJARI BANK,2024-03-01,-0.5,2.0,1.0,,,,,,,,,,,,,,,
217.0,217.0,ATTIJARI BANK,2024-03-08,-0.744,1.0,0.744,,,,,,,,,,,,,,,
218.0,218.0,ATTIJARI BANK,2024-03-12,-1.0,1.0,1.0,,,,,,,,,,,,,,,
219.0,219.0,ATTIJARI BANK,2024-03-19,-0.573,1.0,0.573,,,,,,,,,,,,,,,
220.0,220.0,ATTIJARI BANK,2024-03-27,-0.751,1.0,0.751,,,,,,,,,,,,,,,
221.0,221.0,ATTIJARI BANK,2024-03-28,-0.673,1.0,0.673,,,,,,,,,,,,,,,
222.0,222.0,ATTIJARI BANK,2024-03-29,0.706,1.0,0.706,,,,,,,,,,,,,,,
223.0,223.0,ATTIJARI BANK,2024-04-02,-0.953,1.0,0.953,,,,,,,,,,,,,,,
224.0,224.0,ATTIJARI BANK,2024-04-03,-0.771,1.0,0.771,,,,,,,,,,,,,,,
225.0,225.0,ATTIJARI BANK,2024-04-04,0.864,3.0,2.592,,,,,,,,,,,,,,,
226.0,226.0,ATTIJARI BANK,2024-04-05,0.7383333333333333,3.0,2.215,,,,,,,,,,,,,,,
227.0,227.0,ATTIJARI BANK,2024-04-06,0.0,1.0,0.0,,,,,,,,,,,,,,,
228.0,228.0,ATTIJARI BANK,2024-04-08,-0.632,1.0,0.632,,,,,,,,,,,,,,,
229.0,229.0,ATTIJARI BANK,2024-04-15,0.749,1.0,0.749,,,,,,,,,,,,,,,
230.0,230.0,ATTIJARI BANK,2024-04-19,0.1674999999999999,2.0,1.665,,,,,,,,,,,,,,,
231.0,231.0,ATTIJARI BANK,2024-04-25,0.748,1.0,0.748,,,,,,,,,,,,,,,
232.0,232.0,ATTIJARI BANK,2024-04-29,0.771,1.0,0.771,,,,,,,,,,,,,,,
233.0,233.0,ATTIJARI BANK,2024-04-30,-0.2673333333333333,3.0,2.344,,,,,,,,,,,,,,,
234.0,234.0,ATTIJARI BANK,2024-05-03,0.8915,2.0,1.783,,,,,,,,,,,,,,,
235.0,235.0,ATTIJARI BANK,2024-05-09,1.0,1.0,1.0,,,,,,,,,,,,,,,
236.0,236.0,ATTIJARI BANK,2024-05-10,-0.652,1.0,0.652,,,,,,,,,,,,,,,
237.0,237.0,ATTIJARI BANK,2024-05-20,0.3393333333333333,3.0,1.898,,,,,,,,,,,,,,,
238.0,238.0,ATTIJARI BANK,2024-05-23,-0.669,1.0,0.669,,,,,,,,,,,,,,,
239.0,239.0,ATTIJARI BANK,2024-05-24,-0.677,1.0,0.677,,,,,,,,,,,,,,,
240.0,240.0,ATTIJARI BANK,2024-06-05,0.653,1.0,0.653,,,,,,,,,,,,,,,
241.0,241.0,ATTIJARI BANK,2024-06-06,-1.0,1.0,1.0,,,,,,,,,,,,,,,
242.0,242.0,ATTIJARI BANK,2024-06-07,-0.473,1.0,0.473,,,,,,,,,,,,,,,
243.0,243.0,ATTIJARI BANK,2024-06-10,-0.678,1.0,0.678,,,,,,,,,,,,,,,
244.0,244.0,ATTIJARI BANK,2024-06-11,0.614,1.0,0.614,,,,,,,,,,,,,,,
245.0,245.0,ATTIJARI BANK,2024-06-28,0.997,1.0,0.997,,,,,,,,,,,,,,,
